time_period,time_identifier,geographic_level,country_code,country_name,school_laestab,school_urn,school_name,old_la_code,new_la_code,la_name,version,establishment_type_group,breakdown_topic,breakdown,sex,disadvantage_status,first_language,prior_attainment,mobility,pupil_count,pupil_percent,attainment8_sum,attainment8_average,engmath_entering_total,engmath_entering_percent,engmath_95_total,engmath_95_percent,engmath_94_total,engmath_94_percent,ebacc_entering_total,ebacc_entering_percent,ebacc_95_total,ebacc_95_percent,ebacc_94_total,ebacc_94_percent,ebacc_aps_sum,ebacc_aps_average,progress8_pupil_count,progress8_sum,progress8_average,progress8_lower_95_ci,progress8_upper_95_ci,progress8eng_sum,progress8eng_average,progress8eng_lower_95_ci,progress8eng_upper_95_ci,progress8mat_sum,progress8mat_average,progress8mat_lower_95_ci,progress8mat_upper_95_ci,progress8ebacc_sum,progress8ebacc_average,progress8ebacc_lower_95_ci,progress8ebacc_upper_95_ci,progress8open_sum,progress8open_average,progress8open_lower_95_ci,progress8open_upper_95_ci,gcse_91_total,gcse_91_percent,ebacceng_entering_total,ebacceng_entering_percent,ebaccmat_entering_total,ebaccmat_entering_percent,ebaccsci_entering_total,ebaccsci_entering_percent,ebacchum_entering_total,ebacchum_entering_percent,ebacclan_entering_total,ebacclan_entering_percent,ebacceng_95_total,ebacceng_95_percent,ebaccmat_95_total,ebaccmat_95_percent,ebaccsci_95_total,ebaccsci_95_percent,ebacchum_95_total,ebacchum_95_percent,ebacclan_95_total,ebacclan_95_percent,ebacceng_94_total,ebacceng_94_percent,ebaccmat_94_total,ebaccmat_94_percent,ebaccsci_94_total,ebaccsci_94_percent,ebacchum_94_total,ebacchum_94_percent,ebacclan_94_total,ebacclan_94_percent,attainment8eng_sum,attainment8eng_average,attainment8mat_sum,attainment8mat_average,attainment8ebacc_sum,attainment8ebacc_average,attainment8open_sum,attainment8open_average,attainment8open_gcse_sum,attainment8open_gcse_average,attainment8open_nongcse_sum,attainment8open_nongcse_average,attainment8ebacc_slotfill_total,attainment8ebacc_slotfill_average,attainment8open_slotfill_total,attainment8open_slotfill_average,sci_triple_entering_total,sci_triple_entering_percent,lan_multiple_entering_total,lan_multiple_entering_percent,ebacceng_91_total,ebacceng_91_percent,ebaccmat_91_total,ebaccmat_91_percent,ebaccsci_91_total,ebaccsci_91_percent,ebacchum_91_total,ebacchum_91_percent,ebacclan_91_total,ebacclan_91_percent,ebacc_91_total,ebacc_91_percent,gcse_five_engmath_total,gcse_five_engmath_percent,progress8_pupil_percent,progress8_adjusted_total,progress8_adjusted_percent,progress8original_sum,progress8original_average,progress8original_lower_95_ci,progress8original_upper_95_ci,valueaddedsci_pupil_count,valueaddedsci_pupil_percent,valueaddedsci_sum,valueaddedsci_average,valueaddedsci_lower_95_ci,valueaddedsci_upper_95_ci,valueaddedhum_pupil_count,valueaddedhum_pupil_percent,valueaddedhum_sum,valueaddedhum_average,valueaddedhum_lower_95_ci,valueaddedhum_upper_95_ci,valueaddedlan_pupil_count,valueaddedlan_pupil_percent,valueaddedlan_sum,valueaddedlan_average,valueaddedlan_lower_95_ci,valueaddedlan_upper_95_ci,qual_entries_sum,qual_entries_average,gcse_entries_sum,gcse_entries_average,qual_entries_without_discounting_sum,qual_entries_without_discounting_average
202425,Academic year,School,E92000001,England,3025404,101361,St Michael's Catholic Grammar School,302,E09000003,Barnet,Revised,Voluntary aided school,Total,Total,Total,Total,Total,Total,Total,127,100,9877.5,77.8,125,98.4,122,96.1,124,97.6,92,72.4,88,69.3,90,70.9,938.17,7.39,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,126,99.2,126,99.2,125,98.4,125,98.4,114,89.8,102,80.3,125,98.4,122,96.1,123,98.4,114,100,98,96.1,126,99.2,124,97.6,125,100,114,100,100,98,1882,14.8,1982,15.6,3030,23.9,2983.5,23.5,2983.5,23.5,0,0,377,3,377,3,60,47.2,35,27.6,126,99.2,125,98.4,125,100,114,100,102,100,92,72.4,124,97.6,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1190,9.4,1190,9.4,1190,9.4
202425,Academic year,School,E92000001,England,3055410,101676,St Olave's and St Saviour's Grammar School,305,E09000006,Bromley,Revised,Voluntary aided school,Total,Total,Total,Total,Total,Total,Total,128,100,10704.5,83.6,128,100,128,100,128,100,120,93.8,114,89.1,117,91.4,1051.97,8.22,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,128,100,128,100,128,100,128,100,128,100,120,93.8,128,100,128,100,128,100,127,99.2,115,95.8,128,100,128,100,128,100,127,99.2,118,98.3,2108,16.5,2208,17.3,3280,25.6,3108.5,24.3,3066,24,42.5,0.3,384,3,384,3,128,100,19,14.8,128,100,128,100,128,100,128,100,118,98.3,118,92.2,128,100,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1306.1,10.2,1278,10,1318,10.3
202425,Academic year,School,E92000001,England,3085400,102055,The Latymer School,308,E09000010,Enfield,Revised,Voluntary aided school,Total,Total,Total,Total,Total,Total,Total,191,100,15293,80.1,190,99.5,189,99,190,99.5,179,93.7,175,91.6,179,93.7,1514.27,7.93,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,190,99.5,189,99,190,99.5,189,99,182,95.3,186,97.4,188,98.4,190,99.5,187,98.9,179,98.4,185,99.5,189,99,190,99.5,189,100,182,100,186,100,2983,15.6,3136,16.4,4700,24.6,4474,23.4,4440,23.2,34,0.2,567,3,569,3,189,99,41,21.5,189,99,190,99.5,189,100,182,100,186,100,179,93.7,189,99,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1910,10,1904,10,1913,10
202425,Academic year,School,E92000001,England,3174007,102850,Ilford County High School,317,E09000026,Redbridge,Revised,Community school,Total,Total,Total,Total,Total,Total,Total,180,100,13617,75.7,178,98.9,175,97.2,178,98.9,176,97.8,134,74.4,157,87.2,1319.8,7.33,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,179,99.4,178,98.9,178,98.9,179,99.4,178,98.9,177,98.3,176,97.8,177,98.3,176,98.3,163,91.6,141,79.7,178,98.9,178,98.9,179,100,175,98.3,158,89.3,2649,14.7,2836,15.8,4252,23.6,3880,21.6,3880,21.6,0,0,537,3,535,3,179,99.4,3,1.7,178,98.9,178,98.9,179,100,178,100,177,100,176,97.8,178,98.9,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1960,10.9,1960,10.9,1963,10.9
202425,Academic year,School,E92000001,England,3174025,102852,Woodford County High School,317,E09000026,Redbridge,Revised,Community school,Total,Total,Total,Total,Total,Total,Total,181,100,14497,80.1,181,100,179,98.9,181,100,180,99.4,173,95.6,178,98.3,1433.25,7.92,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,181,100,180,99.4,181,100,180,99.4,180,99.4,181,100,180,99.4,179,98.9,179,99.4,179,99.4,176,97.2,180,99.4,181,100,180,100,180,100,179,98.9,2929,16.2,2874,15.9,4413,24.4,4281,23.7,4281,23.7,0,0,542,3,542,3,179,98.9,29,16,180,99.4,181,100,180,100,180,100,181,100,180,99.4,181,100,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1819,10,1819,10,1822,10.1
202425,Academic year,School,E92000001,England,3584025,106368,Stretford Grammar School,358,E08000009,Trafford,Revised,Foundation school,Total,Total,Total,Total,Total,Total,Total,160,100,11908.5,74.4,160,100,153,95.6,160,100,69,43.1,64,40,67,41.9,1074.48,6.72,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,160,100,160,100,160,100,160,100,158,98.8,69,43.1,155,96.9,158,98.8,157,98.1,150,94.9,68,98.6,160,100,160,100,160,100,155,98.1,68,98.6,2396,15,2308,14.4,3677.5,23,3527,22,3527,22,0,0,480,3,479,3,113,70.6,8,5,160,100,160,100,160,100,158,100,68,98.6,68,42.5,160,100,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1563,9.8,1563,9.8,1563,9.8
202425,Academic year,School,E92000001,England,8714700,110084,St Bernard's Catholic Grammar School,871,E06000039,Slough,Revised,Voluntary aided school,Total,Total,Total,Total,Total,Total,Total,158,100,12212,77.3,158,100,155,98.1,157,99.4,153,96.8,119,75.3,134,84.8,1161.49,7.35,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,158,100,158,100,158,100,158,100,156,98.7,155,98.1,155,98.1,158,100,147,93,152,97.4,127,81.9,157,99.4,158,100,158,100,154,98.7,137,88.4,2454,15.5,2448,15.5,3643,23.1,3667,23.2,3667,23.2,0,0,474,3,474,3,158,100,21,13.3,158,100,158,100,158,100,156,100,152,98.1,150,94.9,157,99.4,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1818,11.5,1818,11.5,1819,11.5
202425,Academic year,School,E92000001,England,8864043,118789,Tunbridge Wells Girls' Grammar School,886,E10000016,Kent,Revised,Foundation school,Total,Total,Total,Total,Total,Total,Total,144,100,10567,73.4,143,99.3,141,97.9,142,98.6,138,95.8,128,88.9,136,94.4,1039.3,7.22,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,143,99.3,143,99.3,143,99.3,143,99.3,143,99.3,138,95.8,143,99.3,141,97.9,139,97.2,139,97.2,134,97.1,143,99.3,142,98.6,143,100,143,100,137,99.3,2096,14.6,2026,14.1,3307,23,3138,21.8,3138,21.8,0,0,429,3,429,3,125,86.8,30,20.8,143,99.3,143,99.3,143,100,143,100,138,100,138,95.8,142,98.6,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1396,9.7,1395,9.7,1396,9.7
202425,Academic year,School,E92000001,England,8864045,118790,Tunbridge Wells Grammar School for Boys,886,E10000016,Kent,Revised,Community school,Total,Total,Total,Total,Total,Total,Total,217,100,13816,63.7,217,100,198,91.2,209,96.3,175,80.6,99,45.6,130,59.9,1275.97,5.88,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,217,100,216,99.5,217,100,214,98.6,181,83.4,208,95.9,209,96.3,201,92.6,180,84.1,166,91.7,120,57.7,213,98.2,211,97.2,206,96.3,173,95.6,152,73.1,2840,13.1,2766,12.7,4202,19.4,4008,18.5,4008,18.5,0,0,643,3,646,3,214,98.6,12,5.5,216,99.5,217,100,212,99.1,181,100,176,84.6,152,70,208,95.9,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2158,9.9,2158,9.9,2158,9.9
202425,Academic year,School,E92000001,England,8864109,118806,Dover Grammar School for Girls,886,E10000016,Kent,Revised,Community school,Total,Total,Total,Total,Total,Total,Total,133,100,7964,59.9,131,98.5,100,75.2,124,93.2,112,84.2,70,52.6,92,69.2,765.98,5.76,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,131,98.5,128,96.2,131,98.5,131,98.5,129,97,115,86.5,117,88,107,80.5,109,83.2,95,73.6,86,74.8,123,92.5,128,96.2,126,96.2,110,85.3,102,88.7,1646,12.4,1560,11.7,2423.5,18.2,2334.5,17.6,2330.5,17.5,4,0,391,2.9,390,2.9,49,36.8,13,9.8,128,96.2,131,98.5,131,100,129,100,113,98.3,111,83.5,121,91,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1116,8.4,1115,8.4,1118,8.4
