time_period,time_identifier,geographic_level,country_code,country_name,version,old_la_code,new_la_code,la_name,school_name,school_urn,school_laestab,disadvantage_status,exam_cohort,end1618_student_count,aps_per_entry,aps_per_entry_grade,aps_per_entry_student_count,retained_percent,retained_assessed_percent,retained_student_count,retained_2nd_year_percent,retained_2nd_year_student_count,value_added,value_added_upper_ci,value_added_lower_ci,progress_banding,best_three_alevels_aps,best_three_alevels_grade,best_three_alevels_student_count,aab_percent,aab_student_count,level_3_maths_percent,level_3_maths_student_count,vocational_percent,vocational_student_count,maths_progress,maths_progress_entries_percent,maths_progress_inscope_count,english_progress,english_progress_entries_percent,english_progress_inscope_count
202425,Academic year,School,E92000001,England,Revised,302,E09000003,Barnet,St Michael's Catholic Grammar School,101361,3025404,Disadvantaged,A level,6,c,c,c,100.0,z,6,z,z,0.22,0.9,-0.46,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
202324,Academic year,School,E92000001,England,Final,302,E09000003,Barnet,St Michael's Catholic Grammar School,101361,3025404,Disadvantaged,A level,9,43.70,B+,9,100.0,z,9,z,z,0.45,0.88,0.01,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
202223,Academic year,School,E92000001,England,Final,302,E09000003,Barnet,St Michael's Catholic Grammar School,101361,3025404,Disadvantaged,A level,15,40.67,B,15,100.0,z,15,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
202122,Academic year,School,E92000001,England,Final,302,E09000003,Barnet,St Michael's Catholic Grammar School,101361,3025404,Disadvantaged,A level,20,38.38,B,18,90.0,z,20,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
202425,Academic year,School,E92000001,England,Revised,302,E09000003,Barnet,St Michael's Catholic Grammar School,101361,3025404,Disadvantaged,Academic,6,c,c,c,100.0,z,6,z,z,0.22,0.9,-0.46,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
202324,Academic year,School,E92000001,England,Final,302,E09000003,Barnet,St Michael's Catholic Grammar School,101361,3025404,Disadvantaged,Academic,9,43.70,B+,9,100.0,z,9,z,z,0.45,0.88,0.01,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
202223,Academic year,School,E92000001,England,Final,302,E09000003,Barnet,St Michael's Catholic Grammar School,101361,3025404,Disadvantaged,Academic,15,40.67,B,15,100.0,z,15,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
202122,Academic year,School,E92000001,England,Final,302,E09000003,Barnet,St Michael's Catholic Grammar School,101361,3025404,Disadvantaged,Academic,20,38.38,B,18,90.0,z,20,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
202425,Academic year,School,E92000001,England,Revised,302,E09000003,Barnet,St Michael's Catholic Grammar School,101361,3025404,Disadvantaged,Applied general,6,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
202324,Academic year,School,E92000001,England,Final,302,E09000003,Barnet,St Michael's Catholic Grammar School,101361,3025404,Disadvantaged,Applied general,9,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
